,id,name,type,start_year,end_year,ep_length,n_seasons,n_episodes,popularity_rank,n_ratings,rating_avg,rating_top1000,rating_us,rating_row,rating_M,rating_F,rating_0to18,rating_M_0to18,rating_F_0to18,rating_18to29,rating_M_18to29,rating_F_18to29,rating_29to45,rating_M_29to45,rating_F_29to45,rating_45to100,rating_M_45to100,rating_F_45to100,genre_sci-fi,genre_fantasy,genre_documentary,genre_thriller,genre_musical,genre_news,genre_sport,genre_crime,genre_romance,genre_mystery,genre_animation,genre_biography,genre_history,genre_action,genre_drama,genre_comedy,genre_adventure,genre_family,genre_western,genre_game-show,genre_short,genre_war,genre_reality-tv,genre_music,genre_talk-show,genre_horror
0,tt5753856,Dark,TV Series,2017,2020,60,3,26,1,221312,8.8,7.5,8.8,8.7,8.8,8.8,9.1,9.2,8.1,9.0,9.0,8.9,8.7,8.7,8.7,8.3,8.3,8.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,tt5071412,Ozark,TV Series,2017, ,60,4,38,19,162539,8.4,7.5,8.6,8.3,8.4,8.3,8.5,8.5,7.8,8.4,8.5,8.2,8.3,8.3,8.3,8.4,8.4,8.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,tt4574334,Stranger Things,TV Series,2016, ,51,4,33,23,752545,8.8,8.1,8.9,8.7,8.7,8.9,8.8,8.7,8.7,8.8,8.8,8.9,8.8,8.7,8.8,8.6,8.5,8.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,tt0452046,Criminal Minds,TV Series,2005,2020,42,15,323,21,151402,8.1,6.7,8.1,7.9,7.7,8.5,7.8,7.8,7.5,8.2,7.8,8.6,8.0,7.6,8.5,7.9,7.6,8.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,tt0108778,Friends,TV Series,1994,2004,22,10,235,25,773770,8.9,7.6,8.3,8.9,8.8,9.1,8.8,8.6,9.0,9.2,9.1,9.3,8.8,8.8,9.0,8.0,8.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,tt2306299,Vikings,TV Series,2013, ,44,6,93,20,396442,8.5,7.4,8.5,8.4,8.5,8.6,8.6,8.6,8.4,8.7,8.7,8.7,8.5,8.4,8.5,8.4,8.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,tt1190634,The Boys,TV Series,2019, ,60,3,17,10,152476,8.7,8.0,8.7,8.6,8.7,8.5,8.8,8.7,8.5,8.8,8.8,8.6,8.7,8.7,8.5,8.6,8.6,8.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,tt0460681,Supernatural,TV Series,2005,2020,44,15,327,18,375811,8.4,7.0,8.6,8.3,8.3,8.7,8.3,7.9,8.7,8.5,8.4,8.7,8.3,8.2,8.6,8.2,7.9,8.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,tt4052886,Lucifer,TV Series,2015, ,42,6,84,24,198851,8.2,7.0,8.1,8.0,8.0,8.4,8.7,8.6,8.7,8.3,8.3,8.5,8.0,7.8,8.2,7.9,7.7,8.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,tt6048596,The Sinner,TV Series,2017, ,45,4,25,11,77803,8.0,7.0,7.9,7.9,7.9,8.1,7.8,7.7,7.4,8.1,8.0,8.2,7.9,7.9,8.1,7.8,7.8,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,tt1439629,Community,TV Series,2009,2015,22,6,111,14,200159,8.5,7.5,8.6,8.4,8.5,8.3,8.7,8.7,8.3,8.7,8.7,8.5,8.5,8.5,8.3,7.9,7.9,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,tt0386676,The Office,TV Series,2005,2013,22,9,188,12,368458,8.9,7.6,8.9,8.8,8.9,8.8,9.1,9.2,8.9,9.1,9.1,9.0,8.8,8.8,8.8,8.1,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,tt1094229,Heartland,TV Series,2007, ,45,13,214,171,8422,8.4,5.7,8.3,7.9,7.5,8.8,6.9,5.0,6.2,8.5,7.4,8.8,8.2,7.3,8.6,8.2,7.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,tt2243973,Hannibal,TV Series,2013,2015,44,3,39,44,218144,8.5,7.9,8.6,8.4,8.5,8.6,8.8,8.6,9.2,8.8,8.8,8.8,8.4,8.4,8.4,8.0,7.9,8.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,tt0903747,Breaking Bad,TV Series,2008,2013,49,5,62,16,1372633,9.5,8.8,9.5,9.4,9.5,9.2,9.6,9.7,9.2,9.5,9.6,9.2,9.4,9.4,9.1,9.3,9.3,9.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
