,tvdb_id,aired_season,aired_episode,name,first_aired,overview,series_tvdb_id,rating,imdb_id,tvdb_avg_rating,tvdb_ratings,first_seen
0,11673,1,1,Northwest Passage,1990-04-08,"The small northwest town of Twin Peaks, Washington is shaken up when the body of the Homecoming Queen, Laura Palmer, is discovered washed up on a riverbank, wrapped in plastic. Meanwhile, the rebellious Audrey Horne ruins a business deal for her father Benjamin.",70533,TV-MA,tt0278784,8.1,1176,2017-05-02 21:24:51
1,11674,1,2,Traces to Nowhere,1990-04-12,Agent Cooper enjoys the comforts of the Great Northern Hotel; Bobby Briggs and Mike Nelson are released from jail; Doctor Hayward hands over the autopsy report on Laura Palmer; Cooper and Truman interview Josie Packard; Audrey Horne and Donna Hayward vow to solve Laura's murder; Sarah Palmer has a vision of a grey-haird man; Doctor Jacoby conceals important information.,70533,TV-MA,tt0734840,7.8,924,2017-05-03 11:32:41
2,11675,1,3,"Zen, or the Skill to Catch a Killer",1990-04-19,"Ben Horne's brother, Jerry, arrives in Twin Peaks; James and Donna decide to be together; Ben & Jerry travel to One Eyed Jacks and meet with its madam, Blackie O'Rielly; Audrey leaves a clue for Cooper; Deputy Hawk finds a bloody towel near the crime scene; Cooper demonstrates a unique deductive technique; The cynical Special Agent Albert Rosenfield arrives to examine the body of Laura Palmer; Josie discovers Catherine has been keeping two ledgers; Leo takes his anger out on Shelly; Agent Cooper has a mysterious dream about the crime.",70533,TV-MA,tt0734843,8.3,812,2017-05-03 21:01:41
3,11676,1,4,Rest in Pain,1990-04-26,"The next morning, Cooper meets with Audrey, who confesses to leaving him the note about One Eyed Jack's. Cooper tells Truman he can't remember who the killer was in his dream, but insists the dream is a code to solving the crime. Albert, after offending everyone in town, is forced to end his autopsy early. Albert and Truman come to blows. Bobby, James and Leland all make a scene at Laura's funeral. Laura's identical cousin, Maddy, arrives in town. Norma's husband, Hank Jennings, is up for parole. Cooper has suspicions about Dr. Jacoby. Leland shows signs of cracking.",70533,TV-MA,tt0734831,7.9,700,2017-05-04 16:22:20
4,11677,1,5,The One-Armed Man,1990-05-03,"Cooper questions Dr. Jacoby, who suspects Leo Johnson is the killer.  Cooper's supervisior, Gordon Cole, calls in with Albert's report. Josie Packard spies on Ben Horne and Catherine Martell. Hawk tracks down the One Armed Man.   Mrs. Palmer shares her vision of the killer, the same man Cooper saw in his dream (BOB).  Truman and Cooper find the bird who attacked Laura belonged to Leo's friend, Jacques Renault.  Hank Jennings has his parole hearing and makes a threatening phone call to Josie.",70533,TV-MA,tt0734837,8.0,700,2017-05-04 17:09:28
5,11678,1,6,Cooper's Dreams,1990-05-10,"Cooper and company have tea with the Log Lady.  The Log Lady tells them there was a third man following after Leo and Jaques the night Laura died.  At the cabin of Jaquces Renault, Cooper, Hawk and Truman find Waldo the bird.  The bird not only attacked Laura the night she died, but he can also talk.  Cooper finds a poker chip from One Eyed Jacks.  Hank returns home to Norma.  The Briggs family visits Dr. Jacoby.  Audrey takes a job at the perfume counter where Laura and Ronette worked.  Shelly takes her revenge on Leo. Audrey has a surprise for Agent Cooper.",70533,TV-MA,tt0734818,7.8,700,2017-05-04 18:42:07
6,11679,1,7,Realization Time,1990-05-17,"Audrey cons her way into working at the perfume counter where Laura worked.  She discovers that it's being used as a recruitment post for One Eyed Jack's.  James, Donna and Maddy plan to lure Jacoby away from his office.  Cooper and Big Ed go under cover at One Eyed Jack's.  Nadine's drape runners are rejected. Truman asks for Cooper's help regarding Josie's fears about the Mill. Leo sets his sights on Bobby Briggs and Waldo the Bird.   Bobby sets up James Hurley.  Ben and Josie decide to double cross Catherine.",70533,TV-MA,tt0734830,8.3,644,2017-05-04 19:35:08
7,11680,1,8,The Last Evening,1990-05-23,"Audrey is hired at One Eyed Jack's, but is caught in a trap when her father arrives.  Cooper gets Jacques Renault to reveal the details of  Laura's last night in the cabin.  Deputy Andy saves Truman's life and apprehends Renault.  Lucy has a surprise for Andy.  Dr. Jacoby is attacked in the park.  James, Donna and Maddy find Laura's last tape and retrieve the necklace.  Cooper finds the coke planted in James's bike.  Leo traps Shelly in the mill and sets it on fire.  Hank lures Catherine to the burning mill, then goes after Leo.  Nadine overdoses on sleeping pills.  Leland Palmer takes revenge.  Cooper, arriving back at the Great Northern Hotel, is shot three times.
To Be Continued...",70533,TV-MA,tt0734835,8.7,588,2017-05-05 10:24:13
8,11681,2,1,May the Giant Be with You,1990-09-30,"A wounded Agent Cooper has a vision of a giant who gives him several clues about the murder of Laura Palmer.  Shelly and Pete recover from the mill fire, but Josie and Catherine are missing.  Ben and Jerry Horne are not pleased with how the mill fire plan unfolded.  Leland Palmer's attitude changes with his hair color.  Albert returns to assist the wounded Cooper.  Donna gets a mysterious message about Meals on Wheels.  Dr. Jacoby recovers from his heart attack, but cannot remember who killed Jacques.  Major Briggs has a vision of good things for Bobby.  Nadine is in a coma.  Leo is a vegetable.  Ronnette awakes from her coma after a horrific dream about Bob.",70533,TV-MA,tt0734826,7.8,672,2017-05-05 13:00:32
9,11682,2,2,Coma,1990-10-06,"Albert determines that neither Leo nor Jaqcues killed Laura, but he is unable find any leads into who shot Cooper. Cooper says they must find the third man, who he believes to be Bob, the grey haird man.  Albert reports that Cooper's ex-partner, Windom Earle, escaped from an insane asylum.  Ben Horne can't decide which of the mill ledgers to destroy.  The Log Lady tells Major Briggs to deliver a message to Agent Cooper.  An Asian man spies on Cooper.  Shelly visits Leo in the hospital.  Maddy and James discuss a change in Donna's attitude.  Leland has a revelation.  Bobby tries to convince Shelly to cash in on Leo's insurance money. Audrey is trapped at One Eyed Jack's.",70533,TV-MA,tt0734817,7.8,588,2017-05-05 18:11:23
10,11683,2,3,The Man Behind the Glass,1990-10-13,"Ronette is attacked in her hospital bed by an unseen person.  Jean Reanult, brother of Jaqcues and Bernard, plans to blackmail Ben Horne for the release of Audrey.  Donna meets with Harold Smith, a shut-in who had befriended Laura.  Albert and Truman have a strange confrontation.  Lucy reveals that there's been another man in her life, Dick Treymane (Horne's Department Store, Men's Fashions).  Shelly decides not to testify against Leo. Leland offers a clue in the search for Killer Bob.  The One-Armed Man leaves Cooper the giant's final clue.  Nadine wakes from her coma a changed woman.  Jacoby leads Cooper and Truman to Jacques's killer.  Donna discovers the secret diary of Laura Palmer.",70533,TV-MA,tt0734836,7.8,448,2017-05-06 08:54:10
11,11684,2,4,Laura's Secret Diary,1990-10-20,"Leland confesses to killing Jacques Reanult.  Andy wants to take a new sperm count test.  Rumor spreads that a food critic is coming to Twin Peaks.  Jean asks Ben to set a trap for Cooper in exchange for Audrey's life.  Cooper agrees to Ben's requests, unaware of the trap.  Harold Smith reads from the diary to Donna.  Josie returns to Twin Peaks.  Cooper asks for help from the Bookhouse Boys, and Harry comes through.  Donna and Maddy plot to steal the diary.  Judge Sternwood arrives for the trials of Leo and Leland.  Dick Tremayne makes a shocking offer to Lucy.  The Asian man comes after Josie and Hank.",70533,TV-MA,tt0734823,7.6,616,2017-05-06 17:29:01
12,11685,2,5,The Orchid's Curse,1990-10-27,"Cooper discovers he had forgotten about the message under his bed.  Shelly and Bobby begin Leo's homecare.  Sternwood hears pre-trial motions and declares Leo not fit for trail.  Nadine comes home, still thinking she's in high school.  A mysterious man, Mr. Tojamura, arrives and offers Ben a sizeable fee for Ghostwood.  Cooper agrees to drop Audrey's ransom, but deduces that she's being held at Jack's.  Andy's test results are an improvement.  Cooper and Truman raid One Eyed Jack's and rescue Audrey, witness several murders, and are saved by Hawk in the process.  Jean Renault captures Hank.  Harold Smith catches Donna and Maddy trying to steal the diary.",70533,TV-MA,tt0734838,7.8,560,2017-05-06 18:16:53
13,11686,2,6,Demons,1990-11-03,"James saves the girls from a tormented Harold.  Cooper brings Audrey home.  Bobby and Shelly learn that their insurance plans have backfired.  Donna tries to convince Truman that Harold Smith has Laura's secret diary.  Cooper's boss, Gordon Cole, arrives with an upsetting message for Cooper.  Hawk finds the One-Armed Man, who reveals himself as the spirit, Mike.  Maddy decides to go home.  Jonathan says he's taking Josie back to China.  Ben calls Leland back into work.  The One Armed Man vows to stop BOB, pointing Cooper towards the Great Northern Hotel.",70533,TV-MA,tt0734819,8.0,560,2017-05-06 20:31:02
14,11687,2,7,Lonely Souls,1990-11-10,"Cooper and the One-Armed Man inspect guests at the Great Northern.  Hawk finds Harold Smith dead by his own hand…with a mysterious suicide note and the diary torn to shreds.  Leo speaks to Bobby about ""new shoes.""  Audrey confronts her father about One Eyed Jacks.  Shelly tells Norma she has to quit working at the Double R.  Norma sees the changed Nadine for the first time.  Bobby finds evidence to blackmail Ben Horne for a sizable sum. Audrey goes to Cooper about her father, leading Truman and Cooper to arrest Ben.  Tojamora reveals his true identity to Pete.  The Log Lady brings Cooper to the Roadhouse, where the Giant appears.  Late in the evening, Laura's killer strikes again...",70533,TV-MA,tt0734824,7.9,588,2017-05-07 08:05:04
15,11688,2,8,Drive with a Dead Girl,1990-11-17,"Donna and James wonder why Maddy left so suddenly.  Norma's mother arrives with news…she's married a new man, Ernie Niles.   Cooper tells Leland they arrested Ben Horne for Laura's murder.  Ben tells Jerry the only person who can prove his innocence is the missing Catherine.  The One-Armed Man escapes custody.  Pete and Truman worry about Josie.  Pete tells Ben that Catherine is still alive, and wants to make a deal.  Cooper comes face to face with the killer without realizing it.  Lucy tells Andy that Dick may be the father.  Hank and Ernie know each other from prison.   Truman insists on prosecuting Ben Horne.  Maddy is found wrapped in plastic.",70533,TV-MA,tt0734822,7.9,532,2017-05-07 11:24:30
16,11689,2,9,Arbitrary Law,1990-12-01,"Albert returns to examine Maddy.  Cooper asks for twenty-four hours to finish his case.  James and Donna reaffirm their love.  Andy accidentally leads Donna and Cooper back to Mrs. Treamond's house.  Cooper is given a missing page from Laura's diary, describing the same dream he had.  The One Armed man is ill, tells Cooper he has all the clues he needs.  Catherine reveals herself to Ben, and he signs the mill back over to her.  Leland and Donna learn of Maddy's death.  Cooper calls together everyone for a final confrontation.    James leaves town.   Cooper tricks the killer into revealing himself after decoding the various clues from his dream.   The spirit of BOB flees from the killer's body, who dies in Cooper's arms and is welcomed into the next life by Laura.  Truman, Cooper, Albert and Major Briggs ponder the existence of Bob, and where he has gone to…",70533,TV-MA,tt0734814,8.1,560,2017-05-07 17:00:25
17,11690,2,10,Dispute Between Brothers,1990-12-08,"Leland is laid to rest and Sarah Palmer tries to accept all that has happened to her family.  Dr. Jacoby returns from Hawaii.  Cooper prepares to leave Twin Peaks.  Mayor Milford objects to his brothers engagement to a younger woman.  Hank and Ernie meet with Jean Renault.   Jacoby has Ed enroll Nadine in High School.  Audrey and Cooper say goodbye, and Cooper tells her about the death of a woman he loved.  Bobby plans to take advantage of Ben's ruin.  Cooper is made a Bookhouse Boy.  Agent Rodger Hardy arrives to suspend Cooper for his illegal entrance into Canada and his involvement in the murders at One Eyed Jacks.  Norma's mother reveals herself to be the critic who wrote a scathing review of the Double R.  Josie returns to Truman.   Major Briggs vanishes in a bright light while fishing with Cooper.",70533,TV-MA,tt0734820,7.7,560,2017-05-07 18:18:02
