tvdb_id,series_name,num_seasons,poster,banner,fanart,status,first_aired,network,runtime,genre,overview,rating,imdb_id,tvdb_avg_rating,tvdb_ratings,my_rating
70533,Twin Peaks,3,https://artworks.thetvdb.com/banners/posters/70533-21.jpg,https://artworks.thetvdb.com/banners/graphical/70533-g4.jpg,https://artworks.thetvdb.com/banners/fanart/original/70533-16.jpg,Ended,1990-04-08,ABC (US),45,"Crime, Drama, Fantasy, Horror, Mystery, Romance, Thriller",The body of a young girl is washed up on a beach near the small Washington state town of Twin Peaks. Eccentric FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.,TV-MA,tt0098936,8.9,4511,7.0
72023,Deadwood,3,https://artworks.thetvdb.com/banners/posters/72023-7.jpg,https://artworks.thetvdb.com/banners/graphical/72023-g.jpg,https://artworks.thetvdb.com/banners/fanart/original/72023-1.jpg,Ended,2004-03-21,HBO,60,"Crime, Drama, Western","In the Black Hills Indian Cession, the town of Deadwood is a settlement violating treaty obligations; a violent and uncivilized outpost that attracts outlaws and entrepreneurs, ex-soldiers and racketeers, Chinese laborers, prostitutes, city slickers and gunfighters.",TV-MA,tt0348914,9.1,2900,8.0
72173,Arrested Development,5,https://artworks.thetvdb.com/banners/posters/72173-8.jpg,https://artworks.thetvdb.com/banners/graphical/72173-g.jpg,https://artworks.thetvdb.com/banners/fanart/original/72173-2.jpg,Ended,2003-11-02,Netflix,25,Comedy,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",TV-14,tt0367279,9.3,6112,7.0
73141,American Dad!,17,https://artworks.thetvdb.com/banners/posters/73141-8.jpg,https://artworks.thetvdb.com/banners/graphical/73141-g7.jpg,https://artworks.thetvdb.com/banners/fanart/original/73141-1.jpg,Continuing,2005-02-06,TBS,25,"Animation, Comedy","C.I.A. Agent Stan Smith is constantly fighting off terrorists who threaten the safety of the USA (sometimes causing more harm than good). His wife Francine is an average house wife with two kids, Hayley, Stan's only daughter, an average rebellious teenager and Steve, Stan's only son, a geek who enjoys Dungeons and Dragons, gaming and comic book conventions. Then there's Roger, the home's illegal (space) alien who the Smith's are keeping protected. Last but not least, there's Klaus, the Smith's wisecracking talking fish (swapped from  his human body years ago by the CIA).",TV-14,tt0397306,8.5,8460,7.0
73244,The Office (US),9,https://artworks.thetvdb.com/banners/posters/73244-1.jpg,https://artworks.thetvdb.com/banners/graphical/73244-g9.jpg,https://artworks.thetvdb.com/banners/fanart/original/73244-32.jpg,Ended,2005-03-24,NBC,25,Comedy,A fresh and funny mockumentary-style glimpse into the daily interactions of the eccentric workers at the Dunder Mifflin paper supply company. This fast-paced comedy parodies contemporary American water-cooler culture.,TV-14,tt0386676,8.9,9021,9.0
73508,Rome,2,https://artworks.thetvdb.com/banners/posters/73508-2.jpg,https://artworks.thetvdb.com/banners/graphical/73508-g.jpg,https://artworks.thetvdb.com/banners/fanart/original/73508-1.jpg,Ended,2005-08-28,HBO,60,"Action, Adventure, Drama, History","Four hundred years after the founding of the Republic, Rome is the wealthiest city in the world. The Republic was founded on principals of shared power, never allowing one man to seize absolute control. But now, those foundations are crumbling...and two soldiers unwittingly become entwined in the historical events of ancient Rome. A drama of love and betrayal, masters and slaves, husbands and wives, Rome chronicles a turbulent era that saw the death of a republic and the birth of an empire.",TV-MA,tt0384766,9.0,4264,6.0
73739,Lost,6,https://artworks.thetvdb.com/banners/posters/73739-11.jpg,https://artworks.thetvdb.com/banners/graphical/73739-g4.jpg,https://artworks.thetvdb.com/banners/fanart/original/73739-34.jpg,Ended,2004-09-22,ABC (US),45,"Action, Adventure, Drama, Science Fiction","After their plane, Oceanic Air flight 815, tore apart whilst thousands of miles off course, the survivors find themselves on a mysterious deserted island where they soon find out they are not alone.",TV-14,tt0411008,9.1,21378,7.0
73838,Malcolm in the Middle,7,https://artworks.thetvdb.com/banners/posters/73838-2.jpg,https://artworks.thetvdb.com/banners/graphical/248-g.jpg,https://artworks.thetvdb.com/banners/fanart/original/73838-4.jpg,Ended,2000-01-09,FOX,25,Comedy,"A gifted and smart young man tries to navigate life, puberty, and love while trying to survive his often dimwitted, dysfunctional family.",TV-PG,tt0212671,8.0,7589,8.0
73871,Futurama,7,https://artworks.thetvdb.com/banners/posters/73871-2.jpg,https://artworks.thetvdb.com/banners/graphical/249-g2.jpg,https://artworks.thetvdb.com/banners/fanart/original/73871-21.jpg,Ended,1999-03-28,Comedy Central,20,"Animation, Comedy, Science Fiction","A late 20th-century New York City pizza delivery boy, Philip J. Fry, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the 31st century.",TV-14,tt0149460,8.8,17994,8.0
74205,Band of Brothers,1,https://artworks.thetvdb.com/banners/posters/74205-9.jpg,https://artworks.thetvdb.com/banners/graphical/74205-g3.jpg,https://artworks.thetvdb.com/banners/fanart/original/74205-3.jpg,Ended,2001-09-09,HBO,60,"Action, Adventure, Drama, Mini-Series, War","The story of Easy Company, 506th Regiment of the 101st Airborne Division, U.S. Army. Based on interviews with survivors of Easy Company, as well as soldiers' journals and letters, this 10-part series chronicles the experiences of these young men who knew extraordinary bravery and extraordinary fear.",TV-MA,tt0185906,9.4,7930,8.0
75164,Samurai Jack,5,https://artworks.thetvdb.com/banners/posters/75164-4.jpg,https://artworks.thetvdb.com/banners/graphical/75164-g2.jpg,https://artworks.thetvdb.com/banners/fanart/original/75164-1.jpg,Ended,2001-08-10,Cartoon Network,20,"Action, Animation, Anime","Made by Genndy Tartakovsky, this cartoon tells the story of a great warrior displaced to the distant future by the evil shape-shifting wizard Aku. The world has become a bleak place under the rule of Aku, segregated into fantastic tribes and ruled by Aku's evil robot warlords. Jack travels this foreign landscape in search of a time portal that can return him to his home time so he can ""undo the future that is Aku!"". ",TV-14,tt0278238,9.1,859,6.0
75299,The Sopranos,6,https://artworks.thetvdb.com/banners/posters/75299-3.jpg,https://artworks.thetvdb.com/banners/graphical/75299-g6.jpg,https://artworks.thetvdb.com/banners/fanart/original/75299-6.jpg,Ended,1999-01-10,HBO,55,"Crime, Drama","Modern day morality tale about New Jersey mob boss Tony Soprano, as he deals with personal and professional issues in his home and business life.",TV-MA,tt0141842,9.2,5049,9.0
360115,Prison Break,5,https://artworks.thetvdb.com/banners/posters/5c9e0957ce5be.jpg,https://artworks.thetvdb.com/banners/graphical/5c9dff708b17f.jpg,https://artworks.thetvdb.com/banners/fanart/original/5c9e06b046ab6.jpg,Ended,2005-08-29,FOX,45,"Action, Crime, Drama, Suspense","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",TV-14,tt0455275,0.0,0,4.0
75450,Six Feet Under,5,https://artworks.thetvdb.com/banners/posters/75450-1.jpg,https://artworks.thetvdb.com/banners/graphical/75450-g3.jpg,https://artworks.thetvdb.com/banners/fanart/original/75450-2.jpg,Ended,2001-06-03,HBO,55,"Comedy, Drama","When death is your business, what is your life? For the Fisher family, the world outside of their family-owned funeral home continues to be at least as challenging as--and far less predictable than--the one inside.  Oscar-winning screenwriter Alan Ball's breakout series that takes a darkly comic look at members of a dysfunctional L.A. family that run a funeral business.",TV-MA,tt0248654,8.9,2479,8.0
75760,How I Met Your Mother,9,https://artworks.thetvdb.com/banners/posters/75760-34.jpg,https://artworks.thetvdb.com/banners/graphical/75760-g2.jpg,https://artworks.thetvdb.com/banners/fanart/original/75760-19.jpg,Ended,2005-09-19,CBS,25,"Comedy, Romance","The year is 2030. Ted Mosby is relaying the story of how he met his wife to his daughter and son. The story starts in the year 2005, when then twenty-seven year old architect Ted was spurred on to want to get married after his best friends from his college days at Wesleyan, lawyer Marshall Eriksen, who was his roommate at the time and kindergarten teacher Lily Aldrin, got engaged after nine years of dating each other. Ted's new quest in life was much to the dismay of his womanizing friend, Barney Stinson. But soon after Marshall and Lily's engagement, Ted believed that his life mate was going to be news reporter and aspiring news anchor Robin Scherbatsky, who, despite having had a romantic relationship with her after this time, ended up being who the kids know as their ""Aunt"" Robin. As Ted relays the story to his kids, the constants are that their Uncle Marshall, Aunt Lily, Uncle Barney and Aunt Robin are always in the picture and thus have something to do with how he got together with their mother.",TV-14,tt0460649,8.9,17525,7.0
75805,It's Always Sunny in Philadelphia,14,https://artworks.thetvdb.com/banners/posters/75805-12.jpg,https://artworks.thetvdb.com/banners/graphical/75805-g3.jpg,https://artworks.thetvdb.com/banners/fanart/original/75805-20.jpg,Continuing,2005-08-04,FX,25,Comedy,"Four egocentric friends who run a neighborhood Irish pub in Philadelphia try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.",TV-MA,tt0472954,9.1,5957,8.0
75978,Family Guy,18,https://artworks.thetvdb.com/banners/posters/75978-13.jpg,https://artworks.thetvdb.com/banners/graphical/75978-g.jpg,https://artworks.thetvdb.com/banners/fanart/original/75978-8.jpg,Continuing,1995-01-01,FOX,20,"Animation, Comedy","Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",TV-MA,tt0182576,8.6,16333,6.0
76156,Scrubs,9,https://artworks.thetvdb.com/banners/posters/76156-6.jpg,https://artworks.thetvdb.com/banners/graphical/76156-g9.jpg,https://artworks.thetvdb.com/banners/fanart/original/76156-11.jpg,Ended,2001-10-02,NBC,25,Comedy,"Scrubs focuses on the lives of several people working at Sacred Heart, a teaching hospital. It features fast-paced dialogue, slapstick, and surreal vignettes presented mostly as the daydreams of the central character, Dr. John Michael ""J.D."" Dorian.",TV-PG,tt0285403,9.0,8151,9.0
76203,Curb Your Enthusiasm,10,https://artworks.thetvdb.com/banners/posters/76203-1.jpg,https://artworks.thetvdb.com/banners/graphical/76203-g3.jpg,https://artworks.thetvdb.com/banners/fanart/original/76203-10.jpg,Continuing,1999-12-01,HBO,30,Comedy,"The unscripted Curb Your Enthusiasm brings the off-kilter comic vision of Larry David, who plays himself in a parallel universe in which he can't seem to do anything right, and, by his standards, neither can anyone else.",TV-MA,tt0264235,8.7,2920,9.0
76321,Freaks and Geeks,1,https://artworks.thetvdb.com/banners/posters/76321-2.jpg,https://artworks.thetvdb.com/banners/graphical/76321-g2.jpg,https://artworks.thetvdb.com/banners/fanart/original/76321-7.jpg,Ended,1999-09-25,NBC,45,"Comedy, Drama","Freaks and Geeks tells the stories of two unique groups of teenagers dealing with life in high school during the 1980s.

The show follows Lindsay Weir as she rebels and begins hanging out with a crowd of burnouts (the ""freaks""), while her brother Sam Weir navigates a different part of the social universe with his nerdy friends (the ""geeks"").",TV-PG,tt0193676,9.0,863,8.0
76885,Cowboy Bebop,1,https://artworks.thetvdb.com/banners/posters/76885-3.jpg,https://artworks.thetvdb.com/banners/graphical/76885-g2.jpg,https://artworks.thetvdb.com/banners/fanart/original/76885-3.jpg,Ended,1998-04-03,TV Tokyo,25,"Action, Adventure, Anime, Science Fiction, Western","In the year 2071 humanity has colonized the entire Solar System through the use of ""Phase Difference Space Gates"". A catastrophic accident occurred during the development of the Gates, damaging both the Earth and the Moon, heavily irradiating the surface, and forcing most of mankind to evacuate to other planets of the Solar System.

Wherever humanity goes, so goes its criminal element, and thus the need for those who hunt criminals. The newly formed solar system police reinstated the bounty scheme of the Wild West. Cowboy Bebop is the story of the four inhabitants of the spaceship Bebop, and the living they barely make at bounty hunting.",TV-MA,tt0213338,9.1,12815,5.0
